CAMPINA GRANDE (82795);
Data;Hora (UTC);Temp. [Hora] (C);Umi. (%);Pressao (hPa);Vel. Vento (m/s);Dir. Vento (m/s);Nebulosidade (Decimos);Insolacao (h);Temp. Max. [Diaria] (h);Temp. Min. [Diaria] (h);Chuva [Diaria] (mm);
01/01/2010;1200;25,8;74,0;952,2;2,5;14,0;7,0;;;21,9;0,0;
01/01/2010;1800;26,3;75,0;949,6;5,0;9,0;7,0;;;;;
02/01/2010;0000;23,2;89,0;951,8;3,8;9,0;8,0;3,20;29,9;;;
02/01/2010;1200;24,6;80,0;952,9;3,5;14,0;9,0;;;21,9;0,0;
02/01/2010;1800;29,6;62,0;948,3;5,0;9,0;7,0;;;;;
03/01/2010;0000;23,1;89,0;952,1;3,3;9,0;7,0;5,70;28,7;;;
03/01/2010;1200;23,3;89,0;953,3;3,5;9,0;8,0;;;21,2;1,0;
03/01/2010;1800;27,9;63,0;950,5;4,0;9,0;8,0;;;;;
04/01/2010;0000;21,8;96,0;952,8;3,5;9,0;9,0;4,10;28,4;;;
04/01/2010;1200;24,5;84,0;953,0;3,8;9,0;10,0;;;21,3;3,7;
04/01/2010;1800;27,9;60,0;951,8;5,0;7,0;7,0;;;;;
05/01/2010;0000;23,2;88,0;953,8;2,8;9,0;8,0;8,50;30,7;;;
05/01/2010;1200;25,5;73,0;952,9;4,1;9,0;8,0;;;21,6;0,0;
05/01/2010;1800;29,4;53,0;949,7;5,3;14,0;4,0;;;;;
06/01/2010;0000;23,0;90,0;951,7;3,8;9,0;5,0;6,40;30,4;;;
06/01/2010;1200;24,2;79,0;952,7;4,5;14,0;8,0;;;21,5;0,0;
06/01/2010;1800;29,5;53,0;950,8;3,3;14,0;5,0;;;;;
07/01/2010;0000;22,9;89,0;951,4;3,5;9,0;6,0;8,30;31,4;;;
07/01/2010;1200;26,3;72,0;952,1;5,0;9,0;8,0;;;21,3;0,0;
07/01/2010;1800;30,3;55,0;949,2;5,0;6,0;6,0;;;;;
08/01/2010;0000;23,8;86,0;951,8;4,1;9,0;5,0;3,90;30,5;;;
08/01/2010;1200;26,5;77,0;952,9;3,8;9,0;9,0;;;22,5;0,0;
08/01/2010;1800;29,1;56,0;949,5;4,5;10,0;10,0;;;;;
09/01/2010;0000;23,2;89,0;952,7;4,0;9,0;8,0;2,70;28,3;;;
09/01/2010;1200;26,3;69,0;952,1;4,6;14,0;8,0;;;21,8;0,0;
09/01/2010;1800;24,5;91,0;949,5;4,3;9,0;10,0;;;;;
10/01/2010;0000;22,3;93,0;951,7;2,3;9,0;9,0;0,80;28,5;;;
10/01/2010;1200;25,0;77,0;953,3;4,5;9,0;9,0;;;21,9;0,0;
10/01/2010;1800;25,9;78,0;950,0;3,3;9,0;10,0;;;;;
11/01/2010;0000;22,3;92,0;952,1;3,5;9,0;9,0;2,20;29,5;;;
11/01/2010;1200;23,6;89,0;952,8;2,5;9,0;10,0;;;21,8;0,2;
11/01/2010;1800;29,1;60,0;950,9;2,6;14,0;6,0;;;;;
12/01/2010;0000;22,8;88,0;952,3;3,6;9,0;7,0;2,40;29,8;;;
12/01/2010;1200;23,5;89,0;953,2;4,5;9,0;10,0;;;21,6;0,0;
12/01/2010;1800;29,5;52,0;950,7;2,3;14,0;10,0;;;;;
13/01/2010;0000;22,6;85,0;953,2;2,8;9,0;6,0;7,80;31,3;;;
13/01/2010;1200;25,2;75,0;954,2;4,5;9,0;8,0;;;21,3;0,0;
13/01/2010;1800;30,8;47,0;950,9;4,0;9,0;5,0;;;;;
14/01/2010;0000;23,4;85,0;953,2;3,8;9,0;5,0;8,90;31,0;;;
