JOAO PESSOA (82798);
Data;Hora (UTC);Temp. [Hora] (C);Umi. (%);Pressao (hPa);Vel. Vento (m/s);Dir. Vento (m/s);Nebulosidade (Decimos);Insolacao (h);Temp. Max. [Diaria] (h);Temp. Min. [Diaria] (h);Chuva [Diaria] (mm);
01/01/2010;1200;29,0;75,0;1013,0;3,3;9,0;9,0;;;23,0;2,4;
01/01/2010;1800;;;;;;;;;;;
02/01/2010;0000;27,6;79,0;1012,6;3,1;9,0;7,0;4,50;30,2;;;
02/01/2010;1200;29,2;74,0;1012,4;2,6;9,0;10,0;;;23,7;1,0;
02/01/2010;1800;;;;;;;;;;;
03/01/2010;0000;27,0;84,0;1012,5;3,0;14,0;5,0;5,30;30,5;;;
03/01/2010;1200;27,8;77,0;1013,0;3,0;9,0;9,0;;;23,1;17,6;
03/01/2010;1800;;;;;;;;;;;
04/01/2010;0000;27,8;77,0;1013,1;2,0;9,0;4,0;7,60;30,8;;;
04/01/2010;1200;28,7;73,0;1014,2;2,0;9,0;10,0;;;23,8;4,6;
04/01/2010;1800;;;;;;;;;;;
05/01/2010;0000;27,6;77,0;1013,7;1,3;9,0;9,0;9,20;31,0;;;
05/01/2010;1200;29,8;66,0;1012,8;2,5;9,0;6,0;;;23,2;0,0;
05/01/2010;1800;;;;;;;;;;;
06/01/2010;0000;27,2;79,0;1012,0;2,0;9,0;4,0;6,00;30,5;;;
06/01/2010;1200;28,6;73,0;1012,5;2,0;14,0;10,0;;;22,7;0,0;
06/01/2010;1800;;;;;;;;;;;
07/01/2010;0000;27,2;75,0;1012,2;1,6;9,0;3,0;9,30;31,4;;;
07/01/2010;1200;29,8;70,0;1012,1;3,0;9,0;6,0;;;21,7;0,0;
07/01/2010;1800;;;;;;;;;;;
08/01/2010;0000;28,0;75,0;1012,5;2,0;9,0;5,0;6,00;31,5;;;
08/01/2010;1200;29,6;69,0;1013,1;3,1;9,0;8,0;;;25,7;0,0;
08/01/2010;1800;;;;;;;;;;;
09/01/2010;0000;27,8;79,0;1013,1;2,3;9,0;8,0;2,60;30,6;;;
09/01/2010;1200;30,2;66,0;1013,3;3,0;9,0;9,0;;;25,4;0,0;
09/01/2010;1800;;;;;;;;;;;
10/01/2010;0000;27,8;76,0;1011,9;1,6;9,0;10,0;0,20;29,8;;;
10/01/2010;1200;27,6;81,0;1013,0;1,6;9,0;9,0;;;23,5;2,2;
10/01/2010;1800;;;;;;;;;;;
11/01/2010;0000;27,4;74,0;1012,8;1,6;9,0;6,0;4,70;30,2;;;
11/01/2010;1200;28,2;77,0;1013,2;1,1;9,0;10,0;;;23,6;1,6;
11/01/2010;1800;;;;;;;;;;;
12/01/2010;0000;27,2;76,0;1012,9;2,0;9,0;5,0;7,00;30,4;;;
12/01/2010;1200;29,2;70,0;1014,2;1,3;9,0;10,0;;;22,7;6,7;
12/01/2010;1800;;;;;;;;;;;
13/01/2010;0000;27,2;75,0;1014,1;2,3;9,0;2,0;8,90;30,8;;;
13/01/2010;1200;29,4;67,0;1014,6;3,0;9,0;9,0;;;22,3;0,0;
13/01/2010;1800;;;;;;;;;;;
14/01/2010;0000;27,6;76,0;1013,8;1,6;9,0;5,0;10,30;31,2;;;
14/01/2010;1200;29,8;65,0;1014,9;2,3;9,0;10,0;;;25,3;0,1;
14/01/2010;1800;;;;;;;;;;;
15/01/2010;0000;27,8;79,0;1014,1;1,6;9,0;7,0;7,50;31,4;;;
15/01/2010;1200;29,4;67,0;1014,9;2,5;9,0;8,0;;;25,5;0,0;
15/01/2010;1800;;;;;;;;;;;
16/01/2010;0000;27,2;81,0;1015,3;2,8;14,0;5,0;9,20;31,4;;;
16/01/2010;1200;28,6;75,0;1015,0;1,6;9,0;7,0;;;21,7;2,8;
16/01/2010;1800;;;;;;;;;;;
17/01/2010;0000;28,0;76,0;1014,8;2,3;14,0;4,0;0,00;28,4;;;
17/01/2010;1200;25,8;92,0;1014,6;3,1;14,0;10,0;;;22,9;10,9;
17/01/2010;1800;;;;;;;;;;;
18/01/2010;0000;23,6;94,0;1015,4;2,5;18,0;10,0;6,40;30,8;;;
18/01/2010;1200;27,0;81,0;1014,8;2,5;14,0;10,0;;;20,9;12,2;
18/01/2010;1800;;;;;;;;;;;
19/01/2010;0000;27,2;79,0;1014,1;3,3;14,0;6,0;6,50;30,7;;;
19/01/2010;1200;27,4;84,0;1013,1;1,5;14,0;7,0;;;22,5;9,8;
19/01/2010;1800;;;;;;;;;;;
20/01/2010;0000;27,4;83,0;1013,7;1,6;18,0;7,0;0,30;28,8;;;
20/01/2010;1200;26,4;91,0;1013,3;3,8;23,0;9,0;;;22,9;2,8;
20/01/2010;1800;;;;;;;;;;;
21/01/2010;0000;26,4;92,0;1012,9;1,1;14,0;7,0;9,90;31,0;;;
