PATOS (82791);
Data;Hora (UTC);Temp. [Hora] (C);Umi. (%);Pressao (hPa);Vel. Vento (m/s);Dir. Vento (m/s);Nebulosidade (Decimos);Insolacao (h);Temp. Max. [Diaria] (h);Temp. Min. [Diaria] (h);Chuva [Diaria] (mm);
01/01/2010;1200;26,7;79,0;984,7;1,3;5,0;10,0;;;19,4;22,0;
01/01/2010;1800;;;;;;;;;;;
02/01/2010;0000;22,2;97,0;984,2;0,3;32,0;10,0;7,80;33,5;;;
02/01/2010;1200;25,3;84,0;985,0;0,5;23,0;9,0;;;17,5;54,2;
02/01/2010;1800;;;;;;;;;;;
03/01/2010;0000;24,8;83,0;983,3;4,3;36,0;10,0;7,90;32,5;;;
03/01/2010;1200;27,0;68,0;985,0;5,0;9,0;8,0;;;20,1;9,7;
03/01/2010;1800;;;;;;;;;;;
04/01/2010;0000;24,2;91,0;984,9;0,5;14,0;10,0;4,70;32,2;;;
04/01/2010;1200;26,8;75,0;985,6;2,0;14,0;7,0;;;20,2;0,6;
04/01/2010;1800;;;;;;;;;;;
05/01/2010;0000;24,5;80,0;985,3;3,1;14,0;10,0;9,90;34,5;;;
05/01/2010;1200;27,4;68,0;985,2;1,8;5,0;7,0;;;19,6;0,0;
05/01/2010;1800;;;;;;;;;;;
06/01/2010;0000;29,2;61,0;982,2;1,8;14,0;10,0;10,10;34,6;;;
06/01/2010;1200;26,8;69,0;983,9;3,8;9,0;7,0;;;20,5;0,0;
06/01/2010;1800;;;;;;;;;;;
07/01/2010;0000;29,4;63,0;981,2;2,5;14,0;7,0;9,10;35,5;;;
07/01/2010;1200;27,0;64,0;984,2;3,0;14,0;3,0;;;19,4;0,0;
07/01/2010;1800;;;;;;;;;;;
08/01/2010;0000;30,0;68,0;982,3;1,3;32,0;10,0;2,80;32,0;;;
08/01/2010;1200;27,8;71,0;984,5;2,6;9,0;8,0;;;21,4;0,0;
08/01/2010;1800;;;;;;;;;;;
09/01/2010;0000;24,8;90,0;983,6;2,3;23,0;10,0;4,90;32,8;;;
09/01/2010;1200;27,1;74,0;984,2;3,3;9,0;10,0;;;20,6;6,0;
09/01/2010;1800;;;;;;;;;;;
10/01/2010;0000;25,5;77,0;982,5;2,1;14,0;2,0;0,80;30,6;;;
10/01/2010;1200;27,0;71,0;984,2;3,0;9,0;10,0;;;21,4;0,0;
10/01/2010;1800;;;;;;;;;;;
11/01/2010;0000;25,4;89,0;983,7;2,5;32,0;10,0;0,50;29,0;;;
11/01/2010;1200;25,8;81,0;985,0;3,5;9,0;10,0;;;20,7;0,1;
11/01/2010;1800;;;;;;;;;;;
12/01/2010;0000;26,0;84,0;983,7;1,6;23,0;7,0;8,30;33,5;;;
12/01/2010;1200;27,0;73,0;985,2;2,0;5,0;7,0;;;20,8;0,0;
12/01/2010;1800;;;;;;;;;;;
13/01/2010;0000;29,4;61,0;983,5;0,7;9,0;8,0;9,30;36,2;;;
13/01/2010;1200;26,6;67,0;986,5;3,3;9,0;6,0;;;20,1;0,0;
13/01/2010;1800;;;;;;;;;;;
14/01/2010;0000;30,4;57,0;983,4;2,0;36,0;7,0;6,90;35,7;;;
14/01/2010;1200;27,4;64,0;986,5;3,3;9,0;8,0;;;20,7;0,0;
14/01/2010;1800;;;;;;;;;;;
15/01/2010;0000;30,0;59,0;983,7;3,8;9,0;8,0;9,70;36,3;;;
15/01/2010;1200;28,1;65,0;986,1;4,5;9,0;5,0;;;20,2;0,0;
15/01/2010;1800;;;;;;;;;;;
16/01/2010;0000;29,0;54,0;984,3;1,3;5,0;0,0;11,10;35,0;;;
16/01/2010;1200;28,3;65,0;986,3;4,6;9,0;4,0;;;20,1;0,0;
16/01/2010;1800;;;;;;;;;;;
17/01/2010;0000;27,7;68,0;985,7;4,0;9,0;2,0;6,80;34,1;;;
17/01/2010;1200;28,6;66,0;986,6;5,0;9,0;6,0;;;18,5;0,0;
17/01/2010;1800;;;;;;;;;;;
