Nome: JOAO PESSOA
Codigo Estacao: 82798
Latitude: -7.09527777
Longitude: -34.8486111
Altitude: 9.67
Situacao: Operante
Data Inicial: 2001-01-01
Data Final: 2021-03-21
Periodicidade da Medicao: Diaria

Data Medicao;INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2001-01-01;10.8;0;30;27.12;23;73.5;3.8;
2001-01-02;11.4;0;30;27.8;26;75.25;3;
2001-01-03;2;0;29.6;26.92;23.2;75.5;2.366667;
2001-01-04;3;0;29.8;27.58;25.8;75.5;3.2;
2001-01-05;10.2;0;30.2;27.8;25.6;75.5;3.633333;
2001-01-06;10.2;0;30.4;28.16;26;73.25;3.3;
2001-01-07;10.2;0;30.6;27.84;26.2;72;3.066667;
2001-01-08;11.6;0;30.8;27.8;25.4;70.25;3.666667;
2001-01-09;10.1;0;30.6;27.84;25;77.25;2.733333;
2001-01-10;7.1;.2;31;27.72;24.2;70.75;3.866667;
2001-01-11;2.2;2.2;30.6;26.72;24;83;2.6;
2001-01-12;2.1;11.4;29.8;27.44;24.8;77.5;3.2;
2001-01-13;9.2;5;30;27.24;24.2;76.25;4.533333;
2001-01-14;8.3;0;30;27.36;24.2;73;4.133333;
2001-01-15;10.3;0;30.4;27.5;24.7;71;4.2;
2001-01-16;9.2;.4;30.2;27.24;24.2;69.25;4.666667;
2001-01-17;11.4;0;30.3;27.5;25.8;70.25;3.966667;
2001-01-18;7.6;3;29.8;27.12;23.4;74.75;3.366667;
2001-01-19;10.1;2;30.6;27.68;25;74.75;3.2;
2001-01-20;10.4;0;30.2;27.6;24.6;70.25;3.866667;
2001-01-21;10.7;0;30.2;27.56;24.2;73.75;3.1;
2001-01-22;10.7;0;30.6;27.72;24.6;72.25;3.3;
2001-01-23;10.9;.2;30.8;27.72;24;74;2.933333;
2001-01-24;7.8;.2;30.4;27.2;23.6;75.75;3.3;
2001-01-25;11.2;.6;30.4;27.68;24.8;71.25;3.2;
