cidade,data,insolacao,precipitacao,temp_max,temp_media,temp_min,umidade,vento
João Pessoa,2021-01-01,9.1,0,32.2,28.259999999999998,25.1,70,1.2861
João Pessoa,2021-01-02,8.9,NA,32.6,NA,NA,73,1.02888
João Pessoa,2021-01-03,9,0,32,28.3,24.5,71,1.02888
João Pessoa,2021-01-04,8.7,0,32.2,28.459999999999997,23.9,72,1.2861
João Pessoa,2021-01-05,9.1,0,32.8,28.459999999999997,24.7,67,1.2861
João Pessoa,2021-01-06,8.7,0,32,28.259999999999998,24.5,73,0.51444
João Pessoa,2021-01-07,9.2,0,32,28.3,24.1,68,1.2861
João Pessoa,2021-01-08,8.8,0,32.4,28.58,24.7,71,1.80054
João Pessoa,2021-01-09,7.8,0,32.2,28.3,24.5,72,0.77166
João Pessoa,2021-01-10,5.7,0.4,31.8,28.14,24.1,75,1.2861
João Pessoa,2021-01-11,5.2,2,32,28.22,24.3,73,1.2861
João Pessoa,2021-01-12,6.7,1.4,32.2,28.14,23.9,73,1.2861
João Pessoa,2021-01-13,4.8,1,31.8,28.3,24.1,71,1.80054
João Pessoa,2021-01-14,7.5,0,32.6,28.419999999999998,24.9,73,0.77166
João Pessoa,2021-01-15,3.4,0,32,28.38,24.7,70,2.05776
João Pessoa,2021-01-16,8.9,0,32.4,28.3,24.9,70,1.80054
João Pessoa,2021-01-17,9,2,32,27.779999999999998,23.1,71,1.2861
João Pessoa,2021-01-18,7.7,0,31.8,27.959999999999997,22.8,70,2.05776
João Pessoa,2021-01-19,5,5,32,27.459999999999997,23.1,82,1.2861
João Pessoa,2021-01-20,3.9,1.4,31.8,27.74,23.9,76,1.02888
João Pessoa,2021-01-21,8.2,1,32,28.14,24.7,73,0.77166
João Pessoa,2021-01-22,5,0,32.2,28.22,24.1,73,2.05776
João Pessoa,2021-01-23,4.9,1.2,31.2,27.459999999999997,23.1,74,1.80054
João Pessoa,2021-01-24,NA,1.4,31.6,27.66,23.1,73,1.5433199999999998
João Pessoa,2021-01-25,NA,1.6,32,NA,23.9,73,NA
João Pessoa,2021-01-26,NA,0.8,32.2,NA,24.5,74,NA
João Pessoa,2021-01-27,NA,1,32,NA,22.3,71,NA
João Pessoa,2021-01-28,NA,0,32.4,NA,24.7,73,NA
João Pessoa,2021-01-29,NA,0,NA,NA,24.3,NA,NA
João Pessoa,2021-01-30,7.9,0,32.2,NA,24.7,73,NA
João Pessoa,2021-01-31,5.8,NA,32.6,NA,NA,74,NA
João Pessoa,2021-02-01,6.3,0,32.6,NA,25.3,68,NA
João Pessoa,2021-02-02,8.9,0,32.8,NA,25.3,71,NA
