cidade,semana,temp_max,temp_media,temp_min,vento_medio,vento_max,umidade,chuva,ano,mes
Campina Grande,2009-12-27,29.9,25.900000000000002,21.9,3.96,5,76,0,2009,12
Campina Grande,2010-01-03,31.4,25.533333333333335,21.2,4.080952380952381,5.3,76.23809523809524,4.7,2010,1
Campina Grande,2010-01-10,32.1,25.60952380952381,21.3,3.952380952380952,6.6,75.95238095238095,0.2,2010,1
Campina Grande,2010-01-17,31,24.20952380952381,20.5,2.86,5,85.33333333333333,69.3,2010,1
Campina Grande,2010-01-24,31.2,26.061904761904763,21.2,3.6904761904761902,5.5,77.80952380952381,3.8,2010,1
Campina Grande,2010-01-31,32.1,26.023809523809526,21.4,3.9714285714285715,6.5,76.04761904761905,1.2,2010,1
Campina Grande,2010-02-07,32.2,26.042857142857144,20.4,3.4047619047619047,6.3,77.76190476190476,10.9,2010,2
Campina Grande,2010-02-14,31.3,25.847619047619048,21.5,3.4047619047619047,5.5,80.42857142857143,2.5,2010,2
Campina Grande,2010-02-21,32.9,26.952380952380953,22.1,3.5428571428571427,5.5,76.04761904761905,0,2010,2
Campina Grande,2010-02-28,34.1,27.97142857142857,22,3.061904761904762,4,71,0,2010,2
Campina Grande,2010-03-07,34.6,28.152380952380952,21.9,3.5095238095238095,5,70.52380952380952,0,2010,3
Campina Grande,2010-03-14,33,26.514285714285712,20.8,4.085714285714285,7.8,76.23809523809524,0.2,2010,3
Campina Grande,2010-03-21,32.7,25.804761904761904,21.1,2.7714285714285714,5.6,78,12.600000000000001,2010,3
Campina Grande,2010-03-28,32.5,26.785714285714285,22.6,3.7714285714285714,5.1,78.9047619047619,8.4,2010,3
Campina Grande,2010-04-04,32.4,25.761904761904763,22.6,2.952380952380952,5.3,82.33333333333333,30.4,2010,4
Campina Grande,2010-04-11,31.8,26.033333333333335,21.3,3.295238095238095,5.5,76.61904761904762,12.9,2010,4
Campina Grande,2010-04-18,30.7,25.928571428571427,20.8,3.2904761904761903,5.5,77.61904761904762,44.6,2010,4
Campina Grande,2010-04-25,31.8,26.104761904761904,21.3,3.28,4.5,76.38095238095238,7.7,2010,4
Campina Grande,2010-05-02,31.4,25.69047619047619,20.3,3.414285714285714,6.3,78.14285714285714,8.3,2010,5
Campina Grande,2010-05-09,32.3,25.895238095238096,20.6,3.155,5.1,77.52380952380952,15.1,2010,5
Campina Grande,2010-05-16,31.1,25.576190476190476,20,2.9095238095238094,4.5,76.57142857142857,3.4,2010,5
Campina Grande,2010-05-23,31.2,25.9,21.2,3.557142857142857,5,77.04761904761905,0.3,2010,5
Campina Grande,2010-05-30,32,25.752380952380953,20.8,2.3476190476190477,3.5,77.9047619047619,62.1,2010,5
Campina Grande,2010-06-06,29.2,24.85238095238095,19.6,2.8666666666666667,5,76.76190476190476,1.2,2010,6
Campina Grande,2010-06-13,26.7,22.6,19.3,3.0619047619047617,5,89.14285714285714,139.29999999999998,2010,6
Campina Grande,2010-06-20,27.8,23.34285714285714,19.3,3.3523809523809525,5.5,82.19047619047619,15.3,2010,6
Campina Grande,2010-06-27,26.9,22.64761904761905,17.2,2.938095238095238,4.3,84.04761904761905,15.6,2010,6
